ID,Geslacht,Loopbaan,Studieprogramma,Oms. Studieprog.,Faculteit,Ingangsd.start,Opleidingsnr.start,Status,Progr.actie,Datum actie start,Ingangsd.eind,Opleidingsnr.eind,Status,Progr.actie,Datum actie,Actiereden,Studiepl.dipl.,Studieniv.dipl.,Ingangsd.dipl.,Status,Statusdatum,Examendatum
10246827,F,10,3056,B Beta-gamma,FNWI,1-9-2011,0,AC,MATR,21-6-2011,31-8-2012,0,SP,SPND,3-3-2013,410,,,,,,
10252088,M,10,3056,B Beta-gamma,FNWI,1-9-2011,0,AC,MATR,27-6-2011,31-8-2012,0,SP,SPND,13-12-2012,410,,,,,,
10253386,F,10,3056,B Beta-gamma,FNWI,1-9-2011,0,AC,MATR,27-6-2011,31-1-2015,0,DC,VDIS,2-2-2015,210,305615,B,6-2-2015,Z,6-2-2015,31-12-2014
10263330,M,10,3056,B Beta-gamma,FNWI,1-9-2011,0,AC,MATR,5-7-2011,31-8-2012,0,SP,SPND,13-12-2012,410,,,,,,
10265732,M,10,3056,B Beta-gamma,FNWI,1-9-2011,0,AC,MATR,6-7-2011,31-8-2015,0,SP,SPND,20-1-2016,410,305615,B,4-9-2015,Z,4-9-2015,15-7-2015
10268863,F,10,3056,B Beta-gamma,FNWI,1-9-2011,0,AC,MATR,9-7-2011,31-8-2012,0,SP,SPND,13-12-2012,410,,,,,,
10269290,F,10,3056,B Beta-gamma,FNWI,1-9-2011,0,AC,MATR,10-7-2011,1-9-2013,1,AC,MATR,6-5-2013,120,,,,,,
10277927,M,10,3056,B Beta-gamma,FNWI,1-9-2011,0,AC,MATR,25-7-2011,31-8-2016,0,SP,SPND,26-10-2016,410,305615,B,28-7-2016,Z,28-7-2016,6-7-2016
10279040,M,10,3056,B Beta-gamma,FNWI,1-9-2011,0,AC,MATR,27-7-2011,1-9-2011,0,AC,MATR,27-7-2011,120,,,,,,
10288880,M,10,3056,B Beta-gamma,FNWI,1-9-2011,0,AC,MATR,15-8-2011,31-3-2012,0,DC,DISC,22-3-2012,391,,,,,,
10313540,M,10,3056,B Beta-gamma,FNWI,1-9-2012,0,AC,MATR,4-5-2012,1-9-2012,0,AC,MATR,4-5-2012,120,,,,,,
10345019,M,10,3056,B Beta-gamma,FNWI,1-9-2012,0,AC,MATR,4-5-2012,31-8-2016,0,SP,SPND,26-10-2016,410,305615,B,30-8-2016,Z,30-8-2016,12-7-2016
10346481,M,10,3056,B Beta-gamma,FNWI,1-9-2012,0,AC,MATR,4-5-2012,31-8-2016,0,SP,SPND,26-10-2016,410,305615,B,19-9-2016,Z,19-9-2016,10-6-2016
10351833,M,10,3056,B Beta-gamma,FNWI,1-9-2012,0,AC,MATR,4-5-2012,31-8-2016,0,SP,SPND,28-10-2016,410,305615,B,28-7-2016,Z,28-7-2016,12-7-2016
10367519,F,10,3056,B Beta-gamma,FNWI,1-9-2012,0,AC,MATR,5-5-2012,31-8-2016,0,SP,SPND,26-10-2016,410,305615,B,2-8-2016,Z,2-8-2016,30-5-2016
10378863,M,10,3056,B Beta-gamma,FNWI,1-9-2013,1,AC,MATR,17-6-2013,1-9-2013,1,AC,MATR,17-6-2013,120,,,,,,
10409904,F,10,3056,B Beta-gamma,FNWI,1-9-2012,0,AC,MATR,4-6-2012,1-9-2012,0,AC,MATR,4-6-2012,120,,,,,,
10427902,M,10,3056,B Beta-gamma,FNWI,1-9-2012,0,AC,MATR,20-6-2012,1-9-2012,0,AC,MATR,20-6-2012,120,,,,,,
10428585,F,10,3056,B Beta-gamma,FNWI,1-9-2012,0,AC,MATR,21-6-2012,1-9-2012,0,AC,MATR,21-6-2012,120,,,,,,
10428666,M,10,3056,B Beta-gamma,FNWI,1-9-2012,0,AC,MATR,21-6-2012,1-9-2012,0,AC,MATR,21-6-2012,120,,,,,,
10430695,F,10,3056,B Beta-gamma,FNWI,1-9-2012,0,AC,MATR,28-6-2012,31-8-2016,0,SP,SPND,28-10-2016,410,305615,B,30-8-2016,Z,30-8-2016,21-7-2016
10438033,F,10,3056,B Beta-gamma,FNWI,1-9-2012,0,AC,MATR,29-6-2012,1-9-2012,0,AC,MATR,29-6-2012,120,,,,,,
10445889,M,10,3056,B Beta-gamma,FNWI,1-9-2012,0,AC,MATR,11-7-2012,31-8-2016,0,SP,SPND,11-7-2016,410,305615,B,6-7-2016,Z,6-7-2016,14-5-2016
10465030,F,10,3056,B Beta-gamma,FNWI,1-9-2012,0,AC,MATR,13-8-2012,1-9-2012,0,AC,MATR,13-8-2012,120,,,,,,
10470611,M,10,3056,B Beta-gamma,FNWI,1-9-2013,0,AC,MATR,2-5-2013,1-9-2013,0,AC,MATR,2-5-2013,120,,,,,,
10470654,M,10,3056,B Beta-gamma,FNWI,1-9-2014,0,AC,MATR,8-8-2014,1-9-2014,0,AC,MATR,8-8-2014,120,,,,,,
10492682,F,10,3056,B Beta-gamma,FNWI,1-9-2013,1,AC,MATR,2-5-2013,1-9-2013,1,AC,MATR,2-5-2013,120,,,,,,
10504230,M,10,3056,B Beta-gamma,FNWI,1-9-2013,0,AC,MATR,2-5-2013,1-9-2013,0,AC,MATR,2-5-2013,120,,,,,,
10530274,M,10,3056,B Beta-gamma,FNWI,1-9-2013,0,AC,MATR,2-5-2013,1-9-2013,0,AC,DATA,3-5-2013,SYNC,,,,,,
10541926,F,10,3056,B Beta-gamma,FNWI,1-9-2013,0,AC,MATR,2-5-2013,1-9-2013,0,AC,MATR,2-5-2013,120,,,,,,
10543449,M,10,3056,B Beta-gamma,FNWI,1-9-2013,0,AC,MATR,2-5-2013,31-1-2017,1,DC,VDIS,20-1-2017,200,305615,B,20-1-2017,Z,20-1-2017,7-12-2016
10546413,M,10,3056,B Beta-gamma,FNWI,1-9-2014,1,AC,MATR,28-5-2014,1-9-2014,1,AC,MATR,28-5-2014,120,,,,,,
10559558,M,10,3056,B Beta-gamma,FNWI,1-9-2013,0,AC,MATR,2-5-2013,1-9-2013,0,AC,MATR,2-5-2013,120,,,,,,
10562044,M,10,3056,B Beta-gamma,FNWI,1-9-2013,0,AC,MATR,2-5-2013,1-9-2013,0,AC,MATR,2-5-2013,120,,,,,,
10563865,F,10,3056,B Beta-gamma,FNWI,1-9-2013,0,AC,MATR,2-5-2013,1-9-2013,0,AC,MATR,2-5-2013,120,,,,,,
10588973,F,10,3056,B Beta-gamma,FNWI,1-9-2013,0,AC,MATR,15-5-2013,1-9-2013,0,AC,MATR,15-5-2013,120,,,,,,
10595635,F,10,3056,B Beta-gamma,FNWI,1-9-2013,0,AC,MATR,15-5-2013,1-9-2013,0,AC,MATR,15-5-2013,120,,,,,,
10607412,M,10,3056,B Beta-gamma,FNWI,1-9-2013,0,AC,MATR,21-5-2013,1-9-2013,0,AC,MATR,21-5-2013,120,,,,,,
10610901,F,10,3056,B Beta-gamma,FNWI,1-9-2013,0,AC,MATR,27-5-2013,1-9-2013,0,AC,MATR,27-5-2013,120,,,,,,
10626832,M,10,3056,B Beta-gamma,FNWI,1-9-2013,0,AC,MATR,4-6-2013,1-9-2013,0,AC,MATR,4-6-2013,120,,,,,,
10627499,M,10,3056,B Beta-gamma,FNWI,1-9-2013,0,AC,MATR,5-6-2013,1-9-2013,0,AC,MATR,5-6-2013,120,,,,,,
10641408,M,10,3056,B Beta-gamma,FNWI,1-9-2013,0,AC,MATR,17-6-2013,1-9-2013,0,AC,MATR,17-6-2013,120,,,,,,
10650385,M,10,3056,B Beta-gamma,FNWI,1-9-2014,1,AC,MATR,30-4-2014,1-9-2014,1,AC,MATR,30-4-2014,120,,,,,,
10657738,F,10,3056,B Beta-gamma,FNWI,1-9-2013,0,AC,MATR,5-7-2013,1-9-2013,0,AC,MATR,5-7-2013,120,,,,,,
10663657,F,10,3056,B Beta-gamma,FNWI,1-9-2013,0,AC,MATR,17-7-2013,1-9-2013,0,AC,MATR,17-7-2013,120,,,,,,
10679294,F,10,3056,B Beta-gamma,FNWI,1-9-2013,0,AC,MATR,15-8-2013,1-9-2013,0,AC,MATR,15-8-2013,120,,,,,,
10686355,M,10,3056,B Beta-gamma,FNWI,1-9-2013,0,AC,MATR,27-8-2013,31-8-2016,0,SP,SPND,28-10-2016,410,305615,B,8-8-2016,Z,8-8-2016,28-7-2016
10721630,M,10,3056,B Beta-gamma,FNWI,1-9-2014,0,AC,MATR,6-5-2014,1-9-2014,0,AC,MATR,6-5-2014,120,,,,,,
10749411,M,10,3056,B Beta-gamma,FNWI,1-9-2014,0,AC,MATR,28-2-2014,1-9-2014,0,AC,MATR,28-2-2014,120,,,,,,
10785949,F,10,3056,B Beta-gamma,FNWI,1-9-2014,0,AC,MATR,21-4-2014,1-9-2014,0,AC,MATR,21-4-2014,120,,,,,,
10800441,M,10,3056,B Beta-gamma,FNWI,1-9-2014,0,AC,MATR,28-4-2014,1-9-2014,0,AC,MATR,28-4-2014,120,,,,,,
10808493,M,10,3056,B Beta-gamma,FNWI,1-9-2014,0,AC,MATR,30-4-2014,1-9-2014,0,AC,MATR,30-4-2014,120,,,,,,
11008938,M,10,3056,B Beta-gamma,FNWI,1-9-2015,0,AC,MATR,24-2-2015,1-9-2015,0,AC,MATR,24-2-2015,120,,,,,,
11049197,M,10,3056,B Beta-gamma,FNWI,1-9-2015,0,AC,MATR,22-4-2015,1-9-2015,0,AC,MATR,22-4-2015,120,,,,,,
5818133,F,10,3056,B Beta-gamma,FNWI,1-9-2007,0,AC,ACTV,5-4-2010,31-8-2013,0,SP,SPND,25-9-2013,410,305615,B,6-9-2013,Z,6-9-2013,31-7-2013
5879825,F,10,3056,B Beta-gamma,FNWI,1-9-2011,1,AC,MATR,16-6-2011,31-3-2016,2,DC,VDIS,19-4-2016,200,305615,B,8-4-2016,Z,8-4-2016,31-3-2016
5927161,M,10,3056,B Beta-gamma,FNWI,1-9-2008,0,AC,ACTV,5-4-2010,31-8-2013,0,SP,SPND,25-9-2013,410,305615,B,30-9-2013,Z,30-9-2013,30-8-2013
5940680,M,10,3056,B Beta-gamma,FNWI,1-9-2008,0,AC,ACTV,5-4-2010,31-8-2014,0,SP,SPND,7-10-2014,410,305615,B,9-10-2014,Z,9-10-2014,29-8-2014
6046770,F,10,3056,B Beta-gamma,FNWI,1-9-2010,1,AC,MATR,19-7-2010,31-8-2014,2,SP,SPND,28-10-2014,410,305615,B,29-9-2014,Z,29-9-2014,31-7-2014
