ID,Geslacht,Loopbaan,Studieprogramma,Oms. Studieprog.,Ingangsd.start,Opleidingsnr.start,Status,Progr.actie,Datum actie start,Ingangsd.eind,Opleidingsnr.eind,Status,Progr.actie,Datum actie,Actiereden,Studiepl.dipl.,Studieniv.dipl.,Ingangsd.dipl.,Status,Statusdatum,Examendatum
10247556,M,15,4120,M Information Studies,1-9-2016,0,AC,MATR,1-5-2016,1-9-2016,0,AC,MATR,1-5-2016,120,,,,,,
10247742,M,15,4120,M Information Studies,1-9-2015,0,AC,MATR,6-5-2015,1-9-2015,0,AC,MATR,6-5-2015,120,,,,,,
10249060,M,15,4121,M Artificial Intelligence,1-9-2016,1,AC,MATR,1-5-2016,1-9-2016,1,AC,MATR,1-5-2016,120,,,,,,
10253025,F,15,4120,M Information Studies,1-9-2015,0,AC,MATR,6-5-2015,31-8-2016,0,SP,SPND,26-10-2016,410,412025,M,9-8-2016,Z,9-8-2016,27-7-2016
10254757,M,15,4132,M Computational Science,1-9-2015,1,AC,MATR,10-7-2015,1-9-2015,1,AC,MATR,10-7-2015,120,,,,,,
10260250,M,15,4121,M Artificial Intelligence,1-9-2017,1,AC,MATR,24-11-2016,1-9-2017,1,AC,MATR,24-11-2016,120,,,,,,
10264523,M,15,4120,M Information Studies,1-9-2016,0,AC,MATR,28-6-2016,1-9-2016,0,AC,MATR,28-6-2016,120,,,,,,
10266186,M,15,4132,M Computational Science,1-9-2014,0,AC,MATR,5-8-2014,1-9-2014,0,AC,MATR,5-8-2014,120,,,,,,
10266186,M,15,4278,M Computer Science (jd),1-9-2016,1,AC,MATR,8-8-2016,1-9-2016,1,AC,MATR,8-8-2016,VUIN,,,,,,
10269673,M,15,4120,M Information Studies,1-9-2016,0,AC,MATR,2-5-2016,1-9-2016,0,AC,MATR,2-5-2016,120,,,,,,
10276823,M,15,4119,M Software Engineering,1-9-2016,0,AC,MATR,22-8-2016,1-9-2016,0,AC,MATR,22-8-2016,120,,,,,,
10277927,M,15,4121,M Artificial Intelligence,1-9-2016,0,AC,MATR,1-5-2016,1-9-2016,0,AC,MATR,1-5-2016,120,,,,,,
10279377,F,15,4117,M Logic,1-9-2014,0,AC,MATR,18-6-2014,28-2-2017,0,DC,VDIS,3-3-2017,200,411725,M,13-3-2017,Z,13-3-2017,28-2-2017
10285261,M,15,4120,M Information Studies,1-9-2015,0,AC,MATR,23-6-2015,31-8-2016,0,SP,SPND,26-10-2016,410,412025,M,23-9-2016,Z,23-9-2016,3-8-2016
10287302,M,15,4121,M Artificial Intelligence,1-9-2017,0,AC,MATR,20-2-2017,1-9-2017,0,AC,MATR,20-2-2017,120,,,,,,
10288384,F,15,4120,M Information Studies,1-9-2015,0,AC,MATR,10-6-2015,1-9-2015,0,AC,MATR,10-6-2015,120,,,,,,
10289968,M,15,4121,M Artificial Intelligence,1-9-2016,0,AC,MATR,29-7-2016,1-9-2016,0,AC,MATR,29-7-2016,120,,,,,,
10292829,M,15,4119,M Software Engineering,1-9-2016,0,AC,MATR,1-5-2016,1-9-2016,0,AC,MATR,1-5-2016,120,,,,,,
10296514,M,15,4119,M Software Engineering,1-9-2015,0,AC,MATR,6-5-2015,31-8-2016,0,SP,SPND,26-10-2016,410,411925,M,23-9-2016,Z,23-9-2016,30-8-2016
10309071,F,15,4120,M Information Studies,1-9-2016,0,AC,MATR,1-5-2016,1-9-2016,0,AC,MATR,1-5-2016,120,,,,,,
10323929,M,15,4278,M Computer Science (jd),1-9-2017,1,AC,MATR,12-2-2017,1-9-2017,1,AC,MATR,12-2-2017,120,,,,,,
10330879,M,15,4277,M Computational Science (jd),1-9-2017,0,AC,MATR,4-4-2017,1-9-2017,0,AC,MATR,4-4-2017,120,,,,,,
10330984,F,15,4121,M Artificial Intelligence,1-9-2016,0,AC,MATR,2-5-2016,31-1-2017,0,DC,DISC,31-1-2017,391,,,,,,
10332553,M,15,4119,M Software Engineering,1-9-2016,0,AC,MATR,2-5-2016,1-9-2016,0,AC,MATR,2-5-2016,120,,,,,,
10336710,F,15,4120,M Information Studies,1-9-2017,0,AC,MATR,17-3-2017,1-9-2017,0,AC,MATR,17-3-2017,120,,,,,,
10340912,M,15,4121,M Artificial Intelligence,1-9-2015,0,AC,MATR,6-5-2015,1-9-2015,0,AC,MATR,6-5-2015,120,,,,,,
10343865,M,15,4121,M Artificial Intelligence,1-9-2017,0,AC,MATR,15-1-2017,1-9-2017,0,AC,MATR,15-1-2017,120,,,,,,
10344837,F,15,4121,M Artificial Intelligence,1-9-2015,1,AC,MATR,19-8-2015,1-9-2015,1,AC,MATR,19-8-2015,VUIN,,,,,,
10345019,M,15,4277,M Computational Science (jd),1-9-2016,0,AC,MATR,2-5-2016,1-9-2016,0,AC,MATR,2-5-2016,120,,,,,,
10348190,M,15,4121,M Artificial Intelligence,1-9-2015,0,AC,MATR,6-5-2015,1-9-2015,0,AC,MATR,6-5-2015,120,,,,,,
10348271,F,15,4120,M Information Studies,1-9-2016,1,AC,MATR,2-5-2016,1-9-2016,1,AC,MATR,2-5-2016,120,,,,,,
10348271,F,15,4121,M Artificial Intelligence,1-9-2016,0,AC,MATR,2-5-2016,1-9-2016,2,AC,MATR,19-8-2016,VUIN,,,,,,
10348484,F,15,4132,M Computational Science,1-9-2015,0,AC,MATR,6-5-2015,1-9-2015,0,AC,MATR,6-5-2015,120,,,,,,
10358196,M,15,4121,M Artificial Intelligence,1-9-2016,1,AC,MATR,1-5-2016,1-9-2016,1,AC,MATR,1-5-2016,120,,,,,,
10362800,M,15,4277,M Computational Science (jd),1-9-2016,0,AC,MATR,2-5-2016,1-9-2016,0,AC,MATR,2-5-2016,120,,,,,,
10363149,F,15,4120,M Information Studies,1-9-2017,1,AC,MATR,24-3-2017,1-9-2017,1,AC,MATR,24-3-2017,120,,,,,,
10371109,M,15,4121,M Artificial Intelligence,1-9-2015,0,AC,MATR,5-7-2015,31-8-2016,0,SP,SPND,28-10-2016,410,,,,,,
10374582,M,15,4119,M Software Engineering,1-9-2016,0,AC,MATR,2-5-2016,1-9-2016,0,AC,MATR,2-5-2016,120,,,,,,
10381015,F,15,4120,M Information Studies,1-9-2015,0,AC,MATR,6-5-2015,1-9-2016,1,AC,MATR,1-5-2016,120,,,,,,
10384081,M,15,4119,M Software Engineering,1-9-2016,0,AC,MATR,2-5-2016,1-9-2016,0,AC,MATR,2-5-2016,120,,,,,,
10385827,M,15,4277,M Computational Science (jd),1-9-2016,0,AC,MATR,13-7-2016,1-9-2016,0,AC,MATR,13-7-2016,120,,,,,,
10386831,M,15,4119,M Software Engineering,1-9-2015,0,AC,MATR,6-5-2015,1-9-2016,1,AC,MATR,8-8-2016,120,,,,,,
10389504,M,15,4121,M Artificial Intelligence,1-9-2017,0,AC,MATR,22-12-2016,1-9-2017,0,AC,MATR,22-12-2016,120,,,,,,
10399100,M,15,4277,M Computational Science (jd),1-9-2016,0,AC,MATR,2-5-2016,1-9-2016,0,AC,MATR,2-5-2016,120,,,,,,
10419667,M,15,4132,M Computational Science,1-9-2015,0,AC,MATR,12-8-2015,1-9-2015,0,AC,MATR,12-8-2015,VUIN,,,,,,
10419667,M,15,4278,M Computer Science (jd),1-9-2016,1,AC,MATR,17-8-2016,1-9-2016,1,AC,MATR,17-8-2016,VUIN,,,,,,
10420169,M,15,4121,M Artificial Intelligence,1-9-2017,0,AC,MATR,31-3-2017,1-9-2017,0,AC,MATR,31-3-2017,120,,,,,,
10421300,M,15,4120,M Information Studies,1-9-2015,0,AC,MATR,6-5-2015,31-8-2016,0,SP,SPND,26-10-2016,410,412025,M,28-9-2016,Z,28-9-2016,31-8-2016
10422617,M,15,4119,M Software Engineering,1-9-2012,0,AC,MATR,18-6-2012,31-12-2013,1,DC,DISC,17-1-2014,391,,,,,,
